;MP;PC;PT;PSI;BCPST;
Concours Polytechnique - ENS;1;2;3;0;;
Concours Mines-Telecom;14;6;9;13;7;
Concours Mines-Ponts;14;4;10;9;;
Arts Et Métiers;1;0;11;4;;
Concours Centrale-Supélec;17;3;13;17;;
Concours CCINP;21;27;11;14;;
Autres;11;15;22;22;4;
X-Agro;;;;;20;
G2E;;;;;3;
;;;;;;
total;79;57;79;79;34;328
;;;;;;
Pas de vœux;2;0;5;4;4;
Autres (sans les sans vœux);9;15;16;18;;
